customer_id,password,profile_reg_datetime,last_verification_code,last_code_expiration,next_attempt_time,wrong_attempts,sms_sent_counter
d54eb158-7499-4bda-bafb-d4bd965a1985,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7000,2023-10-19 14:07:27.51788,123456,2023-10-19 15:07:27.51788,2023-10-19 16:01:27.51788,0,0
e8b5bcb5-96a2-46d9-b6df-33be35ab697a,2d35025721286a4456165b2c3a7b50571c43102049403f30003e65546c6b0212,2023-11-30 13:47:23.04509,123455,2023-11-30 14:47:23.04509,2023-11-30 15:17:23.04509,0,0
6733729f-d627-4122-baab-8100d7242f30,48436757481021255c581b7d74243f3e1e752e0131260906375a25516e491c24,2023-10-17 06:08:28.326489,123444,2023-10-17 07:08:28.326489,2023-10-17 08:18:28.326489,0,0
813f5509-7696-44be-a321-3a094c48a6e7,3a1f0a1f325153236f604841041e5a10681c2c1b0a4145315b694b5a5369500c,2023-11-07 13:01:55.332195,363636,2023-12-07 13:01:55.332195,2023-12-07 14:01:55.332195,1,0
7f89ff6d-452e-4ecd-8112-2ed19bf78184,561257240c795126164506333b0a583e1e041b074234212a3848732c04264845,2023-11-14 15:02:38.550722,252525,2023-11-14 17:02:38.550722,2023-11-14 18:32:38.550722,0,0
80129e92-e26e-4ca8-a158-2752c9db1508,7d02623f24684a186448093f740a41631a441b292a797025617172777a0d7573,2023-11-07 13:03:00.697671,141414,2023-11-07 13:55:00.697671,2023-11-07 14:05:00.697671,0,4
898360f7-ae91-430d-ad93-dc24bcdc6aae,3a1f0a1f325153236f604841041e5a10681c2c1b0a4145315b694b5a5369500c,2023-11-07 13:05:16.429381,474747,2023-11-07 15:05:16.429381,2023-11-07 15:45:16.429381,2,0
403fcd57-6721-48af-9554-3703518d489e,1e616643176e2a55280a50613b120129040f19225b4500422c6e2c445f230e74,2023-11-07 12:38:33.582051,585858,2023-12-07 12:38:33.582051,2023-12-07 13:38:33.582051,0,0
b67c2484-779c-4e4d-a73e-dde833f420ad,null,2023-10-19 14:10:34.07231,696969,2023-10-19 14:50:34.07231,2023-10-19 15:50:34.07231,0,0
eccb5d8a-eb53-4e11-82f5-3c982a53cf3a,1030255b356d1d6e4711172b6d1b2b0c686235296b7d30386214632c722a237d,2023-10-06 12:16:08.328181,993396,2023-11-06 12:16:08.328181,2023-11-06 14:16:08.328181,1,0
e5dd944c-1130-4481-a5a3-31e26f0732b8,4037560a477043653b3151411b14241f1f555c770d21465d026b5e3e49604659,2023-10-17 14:33:51.891813,828528,2023-10-17 15:33:51.891813,2023-10-17 16:13:51.891813,0,5
bd493ba6-bfc7-4656-8fb7-85db766fb636,null,2023-12-06 14:17:01.696143,789879,2023-12-06 14:19:01.696143,2023-12-06 15:10:01.696143,0,11
e670aafa-adfd-49e6-bdbf-b65d9e0c7d53,017c2036453c3c0148605a4c0e5213786c045f381b477629501a026a2b404e74,2023-10-13 14:28:09.778028,125973,2023-10-13 14:55:09.778028,2023-10-13 14:55:09.778028,0,0
033140e9-ea0a-40c3-a738-060283531147,null,2023-10-19 14:13:58.361699,146632,2023-10-19 14:23:58.361699,2023-10-19 15:23:58.361699,0,0
e455e1f7-1f9c-4c99-99f1-ccab5556f4b1,7d0c7e095a2f2d6268094b4f2d757a7f6e1f4c241527355a2f436e606e116355,2023-11-07 12:50:29.894437,999666,2023-12-07 12:50:29.894437,2023-12-07 13:50:29.894437,0,0
e4934e7d-d27f-4af5-8d76-e3a7c90ebb89,7d02623f24684a186448093f740a41631a441b292a797025617172777a0d7573,2023-10-19 14:12:00.546354,666333,2023-10-19 16:12:00.546354,2023-10-19 16:52:00.546354,1,10
5198269e-a7ec-4a69-a3f9-09c01841c881,6658737521622e0f16277a5c666a69143466125e73495a6c05045c5769572f5a,2023-10-19 14:08:44.685172,222555,2023-10-19 15:08:44.685172,2023-10-19 16:08:44.685172,0,5
865c9c93-5c01-44ff-be43-7cd1425bacf4,null,2022-02-17 09:08:51.900003,525896,2023-02-17 09:08:51.900003,2023-02-17 09:48:51.900003,0,0
7cea70f6-1ab4-4b16-adb4-e248d68c18c7,null,2023-01-17 06:09:51.287103,784578,2023-01-17 09:09:51.287103,2023-01-17 10:09:51.287103,1,32
d44cfcb5-5263-4cf2-a7a3-03ea73359aa1,5a3853131b044273584a366a216b52471f075c4e5c080241546c44561f614001,2020-09-27 09:09:31.936996,900258,2020-10-27 09:09:31.936996,2020-10-27 09:59:31.936996,0,14
118493c4-4aae-443f-ac42-f6fa86458d75,null,2022-04-14 08:10:44.984403,313254,2022-04-14 09:10:44.984403,2022-04-14 09:50:44.984403,0,0
b85d65ce-8ce2-41b6-bf0b-ce850f7d7b78,18424f15536a717e320f5b5e28202b3c520c2d4214050a214c4747402d357222,2020-10-13 06:08:51.677103,932356,2021-10-13 06:08:51.677103,2021-10-13 07:08:51.677103,0,0
a04564fc-2363-4cd9-b8bc-48ddd5ffe8ae,0c5e4869613f735a066e715e7a106b380236206c6e684b3a4c6e106245553768,2022-10-17 06:08:51.963103,012456,2022-10-17 16:08:51.963103,2022-10-17 17:08:51.963103,0,0
07eca1d9-715d-486d-9c85-74df3e164907,5e3752390b487069390c3b2e386e4967666c0b09157d6e6f612d695f2c4f667f,2023-10-12 07:08:51.987103,787489,2023-11-12 07:08:51.987103,2023-11-12 07:10:51.987103,2,0
7631686e-a778-4d08-9a03-85ec8b2da39b,6c173d372d2f735b171f305e2a0a696d2f005a58730831586a081c5d28214427,2020-10-22 15:08:51.947103,357895,2020-10-22 16:08:51.947103,2020-10-22 16:09:51.947103,0,0
0e96b64a-830f-42eb-b526-f1e45ed7fef4,7d02623f24684a186448093f740a41631a441b292a797025617172777a0d7573,2023-12-03 06:09:51.987103,421089,2023-12-03 16:09:51.987103,2023-12-03 16:10:51.987103,0,0
c223be73-3115-403a-8800-5a2bcc0bcfce,4037560a477043653b3151411b14241f1f555c770d21465d026b5e3e49604659,2022-10-17 26:08:51.547103,475147,2023-10-17 26:08:51.547103,2023-10-17 26:09:51.547103,0,14
73481ef5-4703-44cb-b8e9-a36c58058959,null,2020-12-17 11:08:33.387379,574521,2021-12-17 11:08:33.387379,2021-12-17 11:09:33.387379,1,80
3c358078-45da-4866-96a4-29fd406cf193,null,2023-10-10 06:09:57.488100,973547,2023-10-10 10:09:57.488100,2023-10-10 10:10:57.488100,0,12
57dd1d96-857c-43df-9093-a1ec5d323954,null,2019-02-27 05:04:51.277103,601020,2020-02-27 05:04:51.277103,2020-02-27 05:06:51.277103,0,0
8e449009-e53b-453f-97d6-8d53524e75f9,null,2023-08-14 07:08:21.935103,789787,2023-09-14 08:08:21.935103,2023-09-14 08:09:21.935103,0,0
9ec49f24-8f5e-11ee-b9d1-0242ac120002,34261d443552384765246c5f2257365a563658190502351260246837301a5417,2023-08-17 12:08:31.987103,305933,2023-10-17 12:08:31.987103,2023-10-17 12:48:31.987103,1,0
9ec4a10e-8f5e-11ee-b9d1-0242ac120002,4b7531566a191e6e014a02312d2f6374502a7d0a3810152305482b01091f135c,2021-10-10 09:08:51.974103,365052,2022-10-10 09:08:51.974103,2022-10-10 09:58:51.974103,0,0
9ec4a2ee-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7042,2023-06-07 06:08:01.387104,906060,2023-07-07 06:15:01.387104,2023-07-07 06:45:01.387104,0,0
9ec4a49c-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7010,2022-10-16 11:08:51.984503,910258,2023-10-16 11:08:51.984503,2023-10-16 11:58:51.984503,2,0
9ec4a62c-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7009,2021-10-25 06:28:51.587105,924578,2022-11-25 06:28:51.587105,2022-11-25 06:58:51.587105,0,0
9ec4a74e-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7008,2023-10-17 08:08:57.687103,932548,2023-10-17 14:08:57.687103,2023-10-17 14:38:57.687103,1,15
9ec4a9ce-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7007,2021-11-16 15:08:41.977103,945875,2022-01-16 15:08:41.977103,2022-01-16 15:58:41.977103,0,0
9ec4af6e-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7006,2023-10-17 06:08:51.387101,955555,2023-10-27 06:08:51.387101,2023-10-27 06:48:51.387101,0,1
9ec4c116-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7005,2022-12-03 10:18:01.602103,363393,2023-01-03 10:18:01.602103,2023-01-03 10:48:01.602103,0,0
9ec4c350-8f5e-11ee-b9d1-0242ac120002,6a596b1b644b4d6e2f44733b074e612f6e1e704825651e6175193650245f7004,2021-10-17 07:08:50.981102,780178,2022-05-17 07:08:50.981102,2022-05-17 07:28:50.981102,0,21
